Date,Open,High,Low,Close,Adj Close,Volume,Change,gain,Loss,Avg Gain,Avg Loss,RS,RSI
10/6/2020,518.719971,521.820007,504.160004,505.869995,505.869995,4199000,-14.780029,0,14.780029,6.8357195,5.263575929,1.298683555,56.49683934
10/7/2020,518,536.48999,515.820007,534.659973,534.659973,7988700,28.789978,28.789978,0,8.8921465,4.287863571,2.073794176,67.46691734
10/8/2020,533.47998,535,524.150024,531.789978,531.789978,5386500,-2.869995,0,2.869995,8.8921465,4.475718857,1.986752695,66.51882154
10/9/2020,537.830017,544.280029,535,539.440002,539.440002,4781300,7.650024,7.650024,0,8.196432857,4.475718857,1.831310929,64.68067178
10/12/2020,548.809998,551.809998,538.23999,539.809998,539.809998,5391100,0.369996,0.369996,0,7.9500035,4.475718857,1.776251761,63.98021195
10/13/2020,540.559998,557.650024,537.200012,554.090027,554.090027,5602500,14.280029,14.280029,0,8.970005571,3.007145429,2.982897164,74.89264827
10/14/2020,562.609985,572.48999,541,541.450012,541.450012,9499000,-12.640015,0,12.640015,8.793576857,3.910003643,2.248994543,69.22124717
10/15/2020,545.52002,551.219971,535.099976,541.940002,541.940002,5113100,0.48999,0.48999,0,8.128574857,3.910003643,2.078917464,67.52105207
10/16/2020,549.5,554.330017,530.030029,530.789978,530.789978,6347400,-11.150024,0,11.150024,7.573575643,4.706433929,1.60919621,61.67402068
10/19/2020,537.070007,541.799988,525.380005,530.719971,530.719971,7567500,-0.070007,0,0.070007,7.371431571,4.711434429,1.564583288,61.00731044
10/20/2020,528.140015,533.780029,522.26001,525.419983,525.419983,10047200,-5.299988,0,5.299988,6.903575286,5.090005,1.356300296,57.56058759
10/21/2020,501.029999,506.850006,488.25,489.049988,489.049988,17405700,-36.369995,0,36.369995,4.940717357,7.687861786,0.642664696,39.12330359
10/22/2020,494.690002,495.140015,482,485.230011,485.230011,6997900,-3.819977,0,3.819977,4.940717357,6.214287857,0.795057691,44.29148407
10/23/2020,488.109985,490.059998,481.350006,488.279999,488.279999,4927900,3.049988,3.049988,0,3.902143214,6.214287857,0.627930875,38.57233037
10/26/2020,487.029999,496.820007,478.899994,488.23999,488.23999,6186100,-0.040009,0,0.040009,3.902143214,5.161429286,0.756019893,43.05303691
10/27/2020,490.01001,490.48999,482.929993,488.929993,488.929993,3627200,0.690003,0.690003,0,1.895002143,5.161429286,0.36714678,26.85496433
10/28/2020,486.359985,494,483.279999,486.23999,486.23999,5992700,-2.690003,0,2.690003,1.895002143,5.148572714,0.368063587,26.90398244
10/29/2020,488.5,513.900024,479.339996,504.209991,504.209991,11120700,17.970001,17.970001,0,2.632143357,5.148572714,0.511237483,33.8290632
10/30/2020,502.01001,505.880005,472.209991,475.73999,475.73999,7807900,-28.470001,0,28.470001,2.605715071,7.182144214,0.362804616,26.62190981
11/2/2020,478.869995,486.299988,475,484.119995,484.119995,4408200,8.380005,8.380005,0,2.184284786,7.182144214,0.304127113,23.32035812
11/3/2020,484.929993,495.309998,478.76001,487.220001,487.220001,3690200,3.100006,3.100006,0,2.405713786,6.279286,0.383119002,27.69964128
11/4/2020,495.359985,507.730011,493.980011,496.950012,496.950012,5137300,9.730011,9.730011,0,3.065715286,6.279286,0.488226732,32.80593755
11/5/2020,506.559998,518.72998,503.450012,513.76001,513.76001,5372800,16.809998,16.809998,0,4.266429429,5.482855714,0.778140015,43.76145909
11/6/2020,515,515.210022,502.51001,514.72998,514.72998,4236300,0.96997,0.96997,0,4.335713,5.477855214,0.791498284,44.18080056
11/9/2020,485.540009,495.850006,467.26001,470.5,470.5,10419700,-44.22998,0,44.22998,4.335713,8.258568929,0.524995679,34.4260437
11/10/2020,470.950012,484.600006,463.410004,480.23999,480.23999,8306100,9.73999,9.73999,0,5.031426571,5.660712143,0.888832791,47.05725118
11/11/2020,483,491.679993,478.26001,490.76001,490.76001,5460500,10.52002,10.52002,0,5.782856571,5.387856643,1.073312999,51.76801571
11/12/2020,491,496.519989,480.429993,486.769989,486.769989,5063700,-3.990021,0,3.990021,5.565000286,5.672858143,0.980987034,49.52011383
11/13/2020,486.769989,488.940002,477.799988,482.839996,482.839996,3002700,-3.929993,0,3.929993,5.565000286,5.950714143,0.935181921,48.3252717
11/16/2020,480,485.579987,477.299988,479.100006,479.100006,3953600,-3.73999,0,3.73999,5.515714357,6.217856286,0.887076527,47.00797843
11/17/2020,480.119995,487.51001,478.850006,480.630005,480.630005,3698100,1.529999,1.529999,0,5.625,6.025713214,0.933499455,48.28030608
